Baby Peach,Standard Kart,Normal,Souper,7,8,9,6,13,5,17,15,17,17,14,15,13,156
Baby Peach,Standard Kart,Normal,Cloud,6,8,8,7,14,4,17,15,18,17,14,16,12,156
Baby Peach,Standard Kart,Normal,Gold,7,7,9,7,13,6,17,16,17,16,13,15,13,156
Baby Peach,Standard Kart,Normal,Parafoil,6,7,8,7,14,5,17,16,18,16,13,16,12,155
Baby Peach,Standard Kart,Mercedes,Souper,7,8,9,6,13,5,17,15,17,17,14,15,14,157
Baby Peach,Standard Kart,Mercedes,Cloud,6,8,8,7,14,4,17,15,18,17,14,16,13,157
Baby Peach,Standard Kart,Mercedes,Gold,7,7,9,7,13,6,17,16,17,16,13,15,14,157
Baby Peach,Standard Kart,Mercedes,Parafoil,6,7,8,7,14,5,17,16,18,16,13,16,13,156
Baby Peach,Standard Kart,Monster,Souper,7,7,7,6,11,7,14,13,15,14,16,14,15,146
Baby Peach,Standard Kart,Monster,Cloud,6,7,6,7,12,6,14,13,16,14,16,15,14,146
Baby Peach,Standard Kart,Monster,Gold,7,6,7,7,11,8,14,14,15,13,15,14,15,146
Baby Peach,Standard Kart,Monster,Parafoil,6,6,6,7,12,7,14,14,16,13,15,15,14,145
Baby Peach,Standard Kart,Ancient,Souper,7,7,7,6,11,7,14,13,15,14,16,14,14,145
Baby Peach,Standard Kart,Ancient,Cloud,6,7,6,7,12,6,14,13,16,14,16,15,13,145
Baby Peach,Standard Kart,Ancient,Gold,7,6,7,7,11,8,14,14,15,13,15,14,14,145
Baby Peach,Standard Kart,Ancient,Parafoil,6,6,6,7,12,7,14,14,16,13,15,15,13,144
Baby Peach,Standard Kart,Roller,Souper,5,8,9,4,15,3,18,16,18,18,13,17,10,154
Baby Peach,Standard Kart,Roller,Cloud,4,8,8,5,16,2,18,16,19,18,13,18,9,154
Baby Peach,Standard Kart,Roller,Gold,5,7,9,5,15,4,18,17,18,17,12,17,10,154
Baby Peach,Standard Kart,Roller,Parafoil,4,7,8,5,16,3,18,17,19,17,12,18,9,153
Baby Peach,Standard Kart,Wooden,Souper,8,7,8,8,11,5,18,16,18,17,10,14,14,154
Baby Peach,Standard Kart,Wooden,Cloud,7,7,7,9,12,4,18,16,19,17,10,15,13,154
Baby Peach,Standard Kart,Wooden,Gold,8,6,8,9,11,6,18,17,18,16,9,14,14,154
Baby Peach,Standard Kart,Wooden,Parafoil,7,6,7,9,12,5,18,17,19,16,9,15,13,153
Baby Peach,Standard Kart,Slick,Souper,9,5,6,8,10,6,16,12,15,16,9,12,14,138
Baby Peach,Standard Kart,Slick,Cloud,8,5,5,9,11,5,16,12,16,16,9,13,13,138
Baby Peach,Standard Kart,Slick,Gold,9,4,6,9,10,7,16,13,15,15,8,12,14,138
Baby Peach,Standard Kart,Slick,Parafoil,8,4,5,9,11,6,16,13,16,15,8,13,13,137
Baby Peach,Standard Kart,Metal,Souper,9,8,8,5,9,7,16,14,14,15,11,12,15,143
Baby Peach,Standard Kart,Metal,Cloud,8,8,7,6,10,6,16,14,15,15,11,13,14,143
Baby Peach,Standard Kart,Metal,Gold,9,7,8,6,9,8,16,15,14,14,10,12,15,143
Baby Peach,Standard Kart,Metal,Parafoil,8,7,7,6,10,7,16,15,15,14,10,13,14,142
Baby Peach,Standard Kart,Gold,Souper,9,8,8,5,9,7,16,14,14,15,11,12,14,142
